,ratio,ratio_int
0.0,-43.23327302873566,-42.84783493815729
0.01,-71.47372423099571,-65.36832623804804
0.02,-52.93812589508811,-46.327488384223365
0.03,-59.9868478534051,-57.39367649864688
0.04,-48.094098163057225,-47.38983736019175
0.05,-48.21873855049338,-45.92705838835856
0.06,-69.12866680274199,-58.26231532740559
0.07,-49.63333475003717,-46.533597467534186
0.08,-57.74079597115769,-55.0945873158577
0.09,-66.64331359221468,-51.6836667152708
0.1,-45.30629106111343,-44.250814911746915
0.11,-51.87075764627703,-48.92613217562236
0.12,-60.61225030238062,-58.56264651757868
0.13,-55.204169301877315,-54.11482109435653
0.14,-48.972708320604134,-47.922329497893266
0.15,-70.07844498965143,-60.5511870465389
0.16,-55.01092246533204,-52.85324949279376
0.17,-58.75679700650866,-53.47825709761718
0.18,-54.25294207921784,-52.40758096856045
0.19,-50.70628206492349,-44.738381341692545
0.2,-68.69397446519505,-62.80853022168622
0.21,-48.05615036696583,-46.92999312286475
0.22,-48.52828791973106,-47.2078606533394
0.23,-54.28907849721992,-52.06508903195587
0.24,-59.489504795533165,-55.26008725459318
0.25,-43.11271202682854,-42.76932496590753
0.26,-45.26621580848949,-43.39835490639388
0.27,-55.78691709066263,-53.57678916816811
0.28,-50.67643962778383,-48.79539797374914
0.29,-68.05084466104765,-64.35968294605573
0.3,-55.02957091746669,-52.338460771672885
0.31,-69.74031499336138,-65.46773657769855
0.32,-61.523297372077316,-58.33276173736335
0.33,-55.6215210117639,-53.356440519208185
0.34,-49.522562191940764,-47.17722992969121
0.35000000000000003,-49.78424815196623,-46.48831607722285
0.36,-53.69187416272137,-51.15626258737636
0.37,-49.55892234273127,-48.19811217212913
0.38,-46.043344235027874,-42.62566123024263
0.39,-43.3486809990813,-43.19802379140426
0.4,-56.34305435548313,-49.27109720418891
0.41000000000000003,-63.19870322873482,-58.69745435283049
0.42,-41.773991752688595,-41.37663986921683
0.43,-47.65032100813526,-46.440980229447604
0.44,-43.465543512463505,-42.64255490972781
0.45,-47.28551384608968,-46.51596750106199
0.46,-55.32438210352604,-53.22337399738486
0.47000000000000003,-43.794887505090344,-43.72714849514915
0.48,-55.476666697154045,-54.298111647993345
0.49,-47.2517518899144,-45.757770720597364
0.5,-44.32540364640062,-43.573800285511446
0.51,-53.75015218554959,-51.2362473340355
0.52,-29.823608806516127,-29.241562900338074
0.53,-50.10009394226475,-48.295322770061446
0.54,-52.615943430546615,-49.59047187794779
0.55,-43.718064904589966,-43.323254328929
0.56,-46.29482421657327,-45.071944081222696
0.5700000000000001,-45.57136038129096,-45.170757644006684
0.58,-43.74949670092808,-43.323254328929
0.59,-42.94167740435134,-41.22261428346623
0.6,-58.4186060429935,-52.60628626611618
0.61,-46.234285611128094,-45.10856530360764
0.62,-42.01834332750791,-41.65894281611713
0.63,-72.04764101083227,-65.48731121262733
0.64,-65.6243749928579,-60.438623813024215
0.65,-49.917625254266724,-49.69961846499587
0.66,-54.38543492390481,-51.47354763926059
0.67,-48.07838828220486,-46.660418905952895
0.68,-65.98164059538317,-62.454014755514685
0.6900000000000001,-30.29158644978393,-28.805627540742453
0.7000000000000001,-66.54459792254787,-56.586828416449166
0.71,-50.68954599561428,-44.37645111938289
0.72,-50.67564008943289,-46.76498588104673
0.73,-49.95288470289239,-48.568464239736954
0.74,-30.392901400902,-28.55160764651557
0.75,-42.70182833640979,-41.76939352538753
0.76,-64.57319220572337,-61.585585446663764
0.77,-59.411575380013296,-54.889774818506446
0.78,-43.704333752712955,-43.320920847591985
0.79,-30.498496654726537,-28.900772123553956
0.8,-64.3567083657058,-55.05563156782939
0.81,-30.686906127296776,-30.23838170097138
0.8200000000000001,-70.17907287836215,-66.67768476269814
0.8300000000000001,-59.26344237910477,-55.42456466406944
0.84,-44.58853814903472,-41.55384568847728
0.85,-54.594451047639616,-52.871967520849005
0.86,-53.78340418771027,-50.26290672745109
0.87,-50.52522154896833,-50.12975738051421
0.88,-43.52298316015898,-41.89677249664696
0.89,-36.95718837808558,-36.42424105710721
0.9,-49.91313156658487,-48.681910208520605
0.91,-49.78954913372726,-45.987884582850654
0.92,-50.573338819487354,-48.77557095136867
0.93,-30.893401009337595,-30.61839307322067
0.9400000000000001,-46.37821554393566,-43.41765185550402
0.9500000000000001,-42.530974879184356,-41.76968451527269
0.96,-45.90597728295543,-44.24939866848888
0.97,-29.842190472513284,-29.152146062069537
0.98,-29.862696638785938,-29.152146062069537
0.99,-56.33997824979246,-52.42173378498419
1.0,-67.29604693882814,-62.37611865936741
1.01,-67.29604693882814,-62.37611865936741
1.02,-67.29604693882814,-62.37611865936741
1.03,-67.29604693882814,-62.37611865936741
1.04,-67.29604693882814,-62.37611865936741
1.05,-67.29604693882814,-62.37611865936741
1.06,-67.29604693882814,-62.37611865936741
1.07,-67.29604693882814,-62.37611865936741
1.08,-67.29604693882814,-62.37611865936741
1.09,-67.29604693882814,-62.37611865936741
1.1,-67.29604693882814,-62.37611865936741
1.11,-67.29604693882814,-62.37611865936741
1.12,-67.29604693882814,-62.37611865936741
1.1300000000000001,-67.29604693882814,-62.37611865936741
1.1400000000000001,-67.29604693882814,-62.37611865936741
1.1500000000000001,-67.29604693882814,-62.37611865936741
1.16,-67.29604693882814,-62.37611865936741
1.17,-67.29604693882814,-62.37611865936741
1.18,-67.29604693882814,-62.37611865936741
1.19,-67.29604693882814,-62.37611865936741
1.2,-67.29604693882814,-62.37611865936741
