,n,win,totalret,maxret,mdd
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.5_-0.25",69.0,40.0,29.110000000000007,44.849999999999994,-26.700000000000003
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.5_-0.5",69.0,43.0,8.790000000000006,34.33,-42.76
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.5_-1",69.0,46.0,-8.64,39.83,-68.11
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.5_-2",69.0,48.0,-23.179999999999986,61.940000000000026,-103.00999999999999
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.8_-0.25",69.0,38.0,31.840000000000007,42.17999999999998,-29.100000000000023
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.8_-0.5",69.0,41.0,13.220000000000006,32.21000000000001,-44.78
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.8_-1",69.0,44.0,-4.20999999999998,38.07000000000001,-70.49000000000001
"entry3_{'C': [('delta', 0.4, -1)]}_[7, 35]_exit1_0.8_-2",69.0,46.0,-20.499999999999996,58.07000000000001,-105.03
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.25_-0.25",69.0,42.0,-1.0565830520834814,9.542607081401922,-14.899190133485403
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.25_-0.5",69.0,51.0,-6.846583052083484,16.092607081401916,-28.569190133485407
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.25_-1",69.0,57.0,-5.256583052083479,16.682607081401922,-35.31919013348541
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.25_-2",69.0,60.0,-12.76658305208349,22.602607081401924,-48.7491901334854
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.5_-0.25",69.0,40.0,4.333416947916525,12.772607081401928,-15.3891901334854
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.5_-0.5",69.0,45.0,-10.986583052083477,12.140000000000004,-29.096583052083478
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.5_-1",69.0,50.0,-12.666583052083478,14.940000000000001,-39.89658305208347
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.5_-2",69.0,58.0,-9.23658305208348,34.19260708140191,-54.3591901334854
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.8_-0.25",69.0,38.0,12.413416947916518,18.932607081401922,-15.389190133485403
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.8_-0.5",69.0,43.0,-3.526583052083479,14.522607081401926,-25.939190133485404
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.8_-1",69.0,49.0,-2.2865830520834804,19.012607081401928,-35.98919013348541
"entry3_{'C': [('delta', 0.2, -1)]}_[7, 35]_exit1_0.8_-2",69.0,57.0,1.223416947916528,42.25260708140192,-54.3591901334854
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.25_-0.25",69.0,40.0,4.524886028381141,8.24784363394306,-8.512957605561919
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.25_-0.5",69.0,45.0,-3.404596688249546,6.56,-14.764596688249547
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.25_-1",69.0,46.0,-16.71592573271331,8.98538211905483,-30.501307851768136
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.25_-2",69.0,48.0,-21.200284349334048,13.662673256227876,-37.95295760556192
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.5_-0.25",69.0,39.0,13.899917557573758,15.402875163135684,-8.512957605561919
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.5_-0.5",69.0,44.0,7.120434840943073,14.173392446504996,-14.072957605561921
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.5_-1",69.0,46.0,-4.418073511831063,12.117117184486379,-23.555190696317432
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[7, 35]_exit1_0.5_-2",69.0,48.0,-8.902432128451794,19.140525477110135,-33.352957605561926
