,n,win,totalret,maxret,mdd
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_1_-0.5",69.0,28.0,-4.11960330894249,2.38039669105751,-8.022893631978931
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_1_-1",69.0,33.0,-3.5642103414251167,3.1057896585748845,-7.28289363197893
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_1_-2",69.0,36.0,1.904563940653492,8.174563940653487,-7.07
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_1_-3",69.0,36.0,5.924563940653491,9.884563940653486,-6.670000000000001
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_2_-0.5",69.0,27.0,-6.009603308942488,2.0332903230364407,-9.912893631978928
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_2_-1",69.0,32.0,-5.454210341425115,1.2157896585748857,-8.812893631978929
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_2_-2",69.0,35.0,0.01456394065349259,6.28456394065349,-7.437021005535266
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_2_-3",69.0,35.0,4.034563940653492,7.9945639406534905,-6.67
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_4_-0.5",69.0,23.0,-18.82960330894249,1.8432903230364406,-20.672893631978937
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_4_-1",69.0,29.0,-19.554210341425105,1.0086832905538123,-20.56289363197893
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_4_-2",69.0,34.0,-12.465436059346514,1.411584946188756,-14.677021005535268
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_4_-3",69.0,34.0,-8.445436059346513,1.411584946188756,-12.567021005535269
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_999_-0.5",69.0,23.0,-18.82960330894249,1.8432903230364406,-20.672893631978937
"entry3_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 35]_exit1_999_-1",69.0,29.0,-19.554210341425105,1.0086832905538123,-20.56289363197893
