,n,win,totalret,maxret,mdd
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_2_-0.5",19.0,4.0,-12.52,1.4800000000000013,-14.200000000000003
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_2_-1",19.0,5.0,-13.75000000000001,2.05,-15.990000000000013
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_2_-2",19.0,5.0,-22.87000000000001,2.05,-25.110000000000014
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_2_-3",19.0,6.0,-18.280000000000015,2.05,-22.040000000000013
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_4_-0.5",19.0,4.0,-12.52,1.4800000000000013,-14.200000000000003
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_4_-1",19.0,5.0,-13.75000000000001,2.05,-15.990000000000013
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_4_-2",19.0,5.0,-22.87000000000001,2.05,-25.110000000000014
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_4_-3",19.0,6.0,-15.930000000000012,2.05,-22.040000000000013
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_999_-0.5",19.0,4.0,-12.52,1.4800000000000013,-14.200000000000003
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_999_-1",19.0,5.0,-13.75000000000001,2.05,-15.990000000000013
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_999_-2",19.0,5.0,-22.87000000000001,2.05,-25.110000000000014
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[7, 35]_exit1_999_-3",19.0,6.0,-18.249999999999986,2.05,-22.040000000000013
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.25_-0.5",19.0,9.0,-5.509999999999999,0.9100000000000001,-7.32
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.25_-1",19.0,12.0,-2.190000000000003,2.9299999999999966,-6.02
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.25_-2",19.0,12.0,-12.120000000000001,2.9299999999999966,-15.950000000000006
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.25_-3",19.0,12.0,-12.120000000000001,2.9299999999999966,-15.950000000000006
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.5_-0.5",19.0,7.0,-7.349999999999998,1.22,-9.579999999999998
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.5_-1",19.0,10.0,-2.5100000000000025,1.9999999999999996,-6.150000000000002
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.5_-2",19.0,10.0,-12.440000000000001,1.9999999999999996,-16.08
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_0.5_-3",19.0,10.0,-12.440000000000001,1.9999999999999996,-16.08
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_1_-0.5",19.0,5.0,-9.42,0.9100000000000001,-11.259999999999998
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_1_-1",19.0,6.0,-6.500000000000002,1.13,-9.190000000000001
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_1_-2",19.0,6.0,-16.430000000000003,1.13,-19.119999999999994
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_1_-3",19.0,6.0,-16.430000000000003,1.13,-19.119999999999994
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_2_-0.5",19.0,5.0,-9.42,0.9100000000000001,-11.259999999999998
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_2_-1",19.0,6.0,-5.910000000000002,1.13,-9.190000000000001
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_2_-2",19.0,6.0,-15.840000000000002,1.13,-19.119999999999994
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_2_-3",19.0,6.0,-15.840000000000002,1.13,-19.119999999999994
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_4_-0.5",19.0,5.0,-9.42,0.9100000000000001,-11.259999999999998
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_4_-1",19.0,5.0,-8.540000000000004,1.13,-10.600000000000009
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_4_-2",19.0,5.0,-18.470000000000002,1.13,-20.529999999999994
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_4_-3",19.0,5.0,-18.470000000000002,1.13,-20.529999999999994
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_999_-0.5",19.0,5.0,-9.42,0.9100000000000001,-11.259999999999998
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_999_-1",19.0,5.0,-8.540000000000004,1.13,-10.600000000000009
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_999_-2",19.0,5.0,-18.470000000000002,1.13,-20.529999999999994
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[7, 35]_exit1_999_-3",19.0,5.0,-18.470000000000002,1.13,-20.529999999999994
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[7, 35]_exit1_0.25_-0.5",19.0,7.0,-3.569999999999998,0.8599999999999999,-5.3299999999999965
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[7, 35]_exit1_0.25_-1",19.0,8.0,-7.38,1.2699999999999998,-9.549999999999997
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[7, 35]_exit1_0.25_-2",19.0,8.0,-7.38,1.2699999999999998,-9.549999999999997
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[7, 35]_exit1_0.25_-3",19.0,11.0,0.6500000000000011,1.2699999999999998,-8.9
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[7, 35]_exit1_0.5_-0.5",19.0,6.0,-3.5299999999999985,1.0099999999999998,-5.419999999999997
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[7, 35]_exit1_0.5_-1",19.0,6.0,-8.020000000000001,1.2699999999999996,-10.169999999999998
