,n,win,totalret,maxret,mdd
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_4_-0.5",19.0,0.0,-72.47999999999996,12.940000000000005,-85.41999999999996
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_4_-1",19.0,0.0,-102.98999999999998,8.600000000000001,-111.59000000000003
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_4_-2",19.0,0.0,-102.98999999999998,8.600000000000001,-111.59000000000003
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_4_-3",19.0,0.0,-102.98999999999998,8.600000000000001,-111.59000000000003
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_999_-0.5",19.0,0.0,-72.47999999999996,12.940000000000005,-85.41999999999996
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_999_-1",19.0,0.0,-102.98999999999998,8.600000000000001,-111.59000000000003
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_999_-2",19.0,0.0,-102.98999999999998,8.600000000000001,-111.59000000000003
"entry5_{'P': [('delta', -0.4, 1)]}_[7, 35]_exit1_999_-3",19.0,0.0,-102.98999999999998,8.600000000000001,-111.59000000000003
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.25_-0.5",19.0,8.0,-0.9999999999999993,7.070000000000001,-8.07
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.25_-1",19.0,8.0,-11.279999999999998,2.91,-14.19
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.25_-2",19.0,8.0,-11.279999999999998,2.91,-14.19
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.25_-3",19.0,8.0,-11.279999999999998,2.91,-14.19
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.5_-0.5",19.0,5.0,-5.6899999999999995,2.380000000000004,-13.449999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.5_-1",19.0,5.0,-19.909999999999997,2.91,-25.949999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.5_-2",19.0,5.0,-19.909999999999997,2.91,-25.949999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_0.5_-3",19.0,5.0,-19.909999999999997,2.91,-25.949999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_1_-0.5",19.0,5.0,-4.14,3.9300000000000046,-13.449999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_1_-1",19.0,5.0,-18.36,4.459999999999999,-25.949999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_1_-2",19.0,5.0,-18.36,4.459999999999999,-25.949999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_1_-3",19.0,5.0,-18.36,4.459999999999999,-25.949999999999996
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_2_-0.5",19.0,4.0,18.060000000000002,26.13,-18.489999999999995
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_2_-1",19.0,4.0,3.1800000000000024,15.329999999999998,-31.65
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_2_-2",19.0,4.0,3.1800000000000024,15.329999999999998,-31.65
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_2_-3",19.0,4.0,3.1800000000000024,15.329999999999998,-31.65
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_4_-0.5",19.0,2.0,-5.180000000000001,17.950000000000003,-23.129999999999995
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_4_-1",19.0,2.0,-21.919999999999998,7.15,-31.65
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_4_-2",19.0,2.0,-21.919999999999998,7.15,-31.65
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_4_-3",19.0,2.0,-21.919999999999998,7.15,-31.65
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_999_-0.5",19.0,0.0,-31.29,17.950000000000003,-49.239999999999995
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_999_-1",19.0,0.0,-49.769999999999996,7.15,-56.92000000000001
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_999_-2",19.0,0.0,-49.769999999999996,7.15,-56.92000000000001
"entry5_{'P': [('delta', -0.2, 1)]}_[7, 35]_exit1_999_-3",19.0,0.0,-49.769999999999996,7.15,-56.92000000000001
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_0.25_-0.5",19.0,6.0,-10.610000000000003,1.27,-11.88
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_0.25_-1",19.0,6.0,-19.9,2.709999999999999,-22.61
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_0.25_-2",19.0,6.0,-19.9,2.709999999999999,-22.61
