,n,win,totalret,maxret,mdd
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.25_-0.25",113.0,37.0,3.0552036587282703,3.08520365872827,-10.965362530555764
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.25_-0.5",113.0,39.0,0.31520365872827016,3.0200000000000005,-13.455362530555764
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.25_-1",113.0,42.0,-1.4447963412717386,2.5400000000000005,-14.735362530555767
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.25_-2",113.0,44.0,1.9552036587282688,5.6400000000000015,-14.455362530555767
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.25_-3",113.0,44.0,1.325203658728268,5.6400000000000015,-15.085362530555766
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.5_-0.25",113.0,36.0,3.15520365872827,3.1852036587282715,-10.815362530555761
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.5_-0.5",113.0,39.0,1.8052036587282703,3.2600000000000007,-12.895362530555769
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.5_-1",113.0,42.0,0.04520365872825993,2.7800000000000002,-14.175362530555773
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.5_-2",113.0,44.0,3.4452036587282673,5.880000000000001,-13.875362530555767
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_0.5_-3",113.0,44.0,2.8152036587282683,5.880000000000001,-14.505362530555766
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-0.25",113.0,35.0,1.5952036587282694,3.2200000000000006,-12.545362530555765
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-0.5",113.0,38.0,1.595203658728264,3.3500000000000005,-14.625362530555769
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-1",113.0,41.0,-0.16479634127174092,2.8700000000000006,-15.905362530555767
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-2",113.0,43.0,4.445203658728266,7.1800000000000015,-15.605362530555768
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-3",113.0,43.0,3.8152036587282665,7.1800000000000015,-16.23536253055577
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_2_-0.25",113.0,34.0,-0.12479634127173289,3.2200000000000006,-14.265362530555764
"entry1_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_2_-0.5",113.0,37.0,-0.12479634127173467,3.3500000000000005,-16.345362530555768
