,n,win,totalret,maxret,mdd
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-0.25",113.0,55.0,3.5599999999999987,6.63,-22.470000000000002
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-0.5",113.0,58.0,8.099999999999998,9.28,-20.93
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-1",113.0,60.0,0.4199999999999937,9.28,-37.940000000000005
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-2",113.0,61.0,-6.780000000000014,6.439999999999998,-44.540000000000006
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.25",113.0,52.0,6.799999999999988,6.799999999999991,-21.760000000000005
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.5",113.0,56.0,16.369999999999997,16.36999999999999,-20.220000000000006
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-1",113.0,57.0,4.129999999999989,6.869999999999997,-38.98
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-2",113.0,58.0,-13.130000000000006,4.52,-56.13000000000001
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.25",113.0,50.0,5.889999999999995,5.889999999999997,-25.44
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.5",113.0,54.0,16.48999999999999,16.489999999999988,-23.760000000000005
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-1",113.0,55.0,4.2499999999999885,7.3599999999999985,-41.860000000000014
"entry1_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-2",113.0,56.0,-13.010000000000012,5.01,-59.41000000000001
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.25",113.0,63.0,1.4450123359826033,2.9750123359826053,-12.139999999999995
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.5",113.0,65.0,-4.484987664017405,2.8,-18.110000000000007
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-1",113.0,69.0,-1.1949876640174004,2.8,-20.120000000000008
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-2",113.0,71.0,1.155012335982592,2.8,-22.490000000000013
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.25",113.0,62.0,10.9250123359826,10.925012335982602,-12.819999999999999
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.5",113.0,64.0,4.99501233598259,4.99501233598259,-18.790000000000006
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-1",113.0,68.0,8.705012335982593,8.705012335982593,-20.800000000000008
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-2",113.0,70.0,0.285012335982584,2.8,-33.940000000000005
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.25",113.0,61.0,15.3650123359826,15.365012335982604,-11.609999999999998
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.5",113.0,63.0,9.435012335982595,9.435012335982595,-17.750000000000007
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-1",113.0,66.0,12.785012335982593,12.785012335982596,-19.760000000000005
"entry1_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-2",113.0,68.0,4.365012335982586,4.365012335982593,-32.90000000000001
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.25",113.0,54.0,6.922931780661395,6.922931780661395,-9.342580399992194
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.5",113.0,57.0,8.452931780661398,8.452931780661398,-9.34258039999219
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-1",113.0,59.0,6.172931780661397,6.172931780661395,-13.402580399992193
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-2",113.0,59.0,0.362931780661397,1.6645688208854172,-17.37258039999219
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-0.25",113.0,51.0,7.090674692647341,7.090674692647342,-9.812580399992193
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-0.5",113.0,55.0,10.800674692647341,10.800674692647341,-9.812580399992193
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-1",113.0,56.0,7.10067469264734,7.10067469264734,-13.872580399992192
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-2",113.0,56.0,0.3506746926473383,0.8345688208854167,-18.87258039999218
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-0.25",113.0,47.0,4.823094364290563,4.8230943642905615,-12.790160728348974
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-0.5",113.0,51.0,9.063094364290563,9.06309436429056,-12.640160728348974
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-1",113.0,52.0,5.363094364290561,5.363094364290564,-16.370160728348974
"entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-2",113.0,52.0,-5.198661680937651,0.5745688208854177,-25.181916773577186
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-0.25",113.0,59.0,4.855954573239242,4.8559545732392415,-6.650107292454678
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-0.5",113.0,60.0,4.965954573239243,4.9659545732392445,-6.650107292454676
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-1",113.0,63.0,4.665954573239244,4.665954573239242,-8.191574028542735
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-2",113.0,63.0,1.1059545732392415,1.1059545732392446,-11.231574028542731
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-0.25",113.0,58.0,14.703697485225186,14.703697485225184,-7.6901072924546785
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-0.5",113.0,59.0,14.813697485225187,14.813697485225184,-7.6901072924546785
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-1",113.0,62.0,14.513697485225185,14.513697485225187,-9.231574028542735
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-2",113.0,62.0,9.633697485225188,9.633697485225188,-13.59157402854273
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-0.25",113.0,56.0,14.637851172810116,14.637851172810116,-7.380107292454676
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-0.5",113.0,58.0,16.13486147773002,16.13486147773002,-7.050107292454676
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-1",113.0,60.0,15.124861477730018,15.12486147773002,-8.591574028542734
"entry1_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-2",113.0,60.0,10.464861477730025,10.464861477730025,-13.09157402854273
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-0.25",68.0,32.0,-5.600000000000001,7.4,-23.270000000000003
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-0.5",68.0,32.0,-7.550000000000001,7.4,-23.270000000000003
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-1",68.0,33.0,-18.690000000000012,7.4,-40.550000000000004
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-2",68.0,33.0,-26.780000000000015,4.5600000000000005,-45.400000000000006
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.25",68.0,30.0,-3.5300000000000082,4.99,-20.57
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.5",68.0,31.0,-0.45000000000000995,4.99,-20.57
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-1",68.0,32.0,-11.590000000000007,4.99,-37.85000000000001
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-2",68.0,32.0,-19.19,2.6399999999999997,-42.7
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.25",68.0,30.0,-1.7800000000000047,5.539999999999999,-20.87
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.5",68.0,31.0,2.2499999999999964,5.539999999999999,-20.87
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-1",68.0,32.0,-8.890000000000006,5.539999999999999,-37.22
"entry2_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-2",68.0,32.0,-16.490000000000006,3.1899999999999995,-42.470000000000006
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.25",68.0,36.0,-5.930000000000003,1.72,-14.280000000000001
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.5",68.0,36.0,-13.150000000000002,1.72,-21.090000000000003
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-1",68.0,38.0,-11.770000000000001,1.72,-23.1
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-2",68.0,39.0,-13.05,1.72,-25.500000000000004
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.25",68.0,36.0,4.649999999999996,4.6499999999999995,-13.29
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.5",68.0,36.0,-2.5700000000000056,1.72,-20.1
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-1",68.0,38.0,-1.1900000000000013,1.72,-22.11
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-2",68.0,39.0,-2.470000000000004,1.72,-24.51
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.25",68.0,35.0,8.019999999999998,8.020000000000003,-12.68
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.5",68.0,35.0,0.7999999999999883,1.3800000000000001,-19.49
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-1",68.0,37.0,2.5799999999999894,2.5800000000000036,-21.5
"entry2_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-2",68.0,38.0,1.2999999999999883,1.7800000000000002,-23.900000000000002
"entry2_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.25",68.0,32.0,-0.5039727919970485,1.844568820885419,-9.69
"entry2_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.5",68.0,33.0,-0.17397279199704885,1.844568820885419,-9.69
