,n,win,totalret,maxret,mdd
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_2_-0.5",68.0,7.0,-31.500000000000032,7.99,-42.38000000000003
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_2_-0.8",68.0,7.0,-40.360000000000035,7.33,-50.58000000000001
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_4_-0.25",68.0,5.0,-16.18999999999998,8.58,-29.429999999999993
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_4_-0.5",68.0,7.0,-16.740000000000006,7.99,-31.800000000000004
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_4_-0.8",68.0,7.0,-25.60000000000002,7.33,-39.16000000000002
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_999_-0.25",68.0,5.0,-3.299999999999979,21.469999999999995,-29.429999999999993
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_999_-0.5",68.0,7.0,-3.850000000000014,20.879999999999995,-31.800000000000008
"entry2_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_999_-0.8",68.0,7.0,-12.710000000000012,20.219999999999995,-39.160000000000004
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.25_-0.25",68.0,19.0,-10.659999999999995,3.63,-14.529999999999998
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.25_-0.5",68.0,20.0,-12.49999999999999,3.21,-15.709999999999994
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.25_-0.8",68.0,21.0,-12.529999999999966,2.99,-16.08999999999999
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.5_-0.25",68.0,15.0,-16.06,3.63,-19.689999999999994
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.5_-0.5",68.0,16.0,-18.719999999999988,3.21,-21.93
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.5_-0.8",68.0,17.0,-18.74999999999997,2.99,-21.739999999999966
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_1_-0.25",68.0,11.0,-15.780000000000012,1.44,-17.22000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_1_-0.5",68.0,11.0,-20.990000000000013,1.02,-22.010000000000023
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_1_-0.8",68.0,12.0,-21.339999999999986,0.4800000000000004,-21.81999999999999
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_2_-0.25",68.0,8.0,-20.03000000000001,4.539999999999999,-25.350000000000023
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_2_-0.5",68.0,8.0,-25.240000000000013,4.119999999999999,-29.36000000000002
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_2_-0.8",68.0,9.0,-26.699999999999978,3.58,-30.279999999999994
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_4_-0.25",68.0,8.0,-16.30000000000001,6.279999999999998,-23.36000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_4_-0.5",68.0,8.0,-21.51000000000001,5.859999999999998,-27.37000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_4_-0.8",68.0,9.0,-22.969999999999988,5.3199999999999985,-28.289999999999992
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_999_-0.25",68.0,8.0,-16.20000000000001,6.379999999999999,-23.36000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_999_-0.5",68.0,8.0,-21.410000000000007,5.959999999999999,-27.37000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_999_-0.8",68.0,9.0,-22.869999999999987,5.42,-28.289999999999992
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.25_-0.25",68.0,14.0,-8.829999999999997,1.4699999999999998,-11.489999999999998
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.25_-0.5",68.0,16.0,-10.099999999999994,1.3399999999999999,-12.309999999999999
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.25_-0.8",68.0,16.0,-12.859999999999975,1.14,-13.99999999999997
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.5_-0.25",68.0,11.0,-10.899999999999995,1.4699999999999998,-13.16
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.5_-0.5",68.0,12.0,-13.479999999999995,1.3399999999999999,-15.29
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.5_-0.8",68.0,12.0,-16.89999999999997,1.14,-18.039999999999974
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_1_-0.25",68.0,7.0,-14.709999999999992,1.5599999999999998,-17.05
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_1_-0.5",68.0,8.0,-17.26000000000002,1.43,-19.150000000000013
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_1_-0.8",68.0,8.0,-21.06999999999999,1.23,-22.299999999999994
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_2_-0.25",68.0,5.0,-13.960000000000013,3.6999999999999993,-18.44000000000002
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_2_-0.5",68.0,6.0,-16.510000000000034,3.5699999999999994,-20.54000000000004
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_2_-0.8",68.0,6.0,-20.53000000000001,3.37,-23.900000000000013
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_4_-0.25",68.0,5.0,-8.380000000000011,3.6999999999999993,-15.600000000000017
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_4_-0.5",68.0,6.0,-10.930000000000028,3.5699999999999994,-17.70000000000003
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_4_-0.8",68.0,6.0,-14.950000000000006,3.37,-20.410000000000014
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_999_-0.25",68.0,5.0,-5.080000000000013,6.999999999999999,-15.60000000000002
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_999_-0.5",68.0,6.0,-7.630000000000026,6.869999999999999,-17.70000000000003
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_999_-0.8",68.0,6.0,-11.650000000000002,6.67,-20.41000000000001
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.25_-0.25",43.0,10.0,-31.360000000000035,5.68,-37.42000000000004
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.25_-0.5",43.0,11.0,-37.18000000000005,5.68,-43.240000000000045
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.25_-0.8",43.0,11.0,-47.05000000000005,5.68,-52.73000000000004
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.5_-0.25",43.0,9.0,-31.470000000000056,6.5,-37.970000000000056
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.5_-0.5",43.0,9.0,-40.38000000000007,6.5,-46.88000000000006
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.5_-0.8",43.0,9.0,-50.25000000000006,6.5,-56.750000000000064
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_1_-0.25",43.0,6.0,-40.91000000000006,2.58,-43.490000000000045
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_1_-0.5",43.0,6.0,-49.82000000000007,2.58,-52.400000000000055
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_1_-0.8",43.0,6.0,-60.640000000000065,1.63,-62.27000000000007
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_2_-0.25",43.0,4.0,-54.88000000000005,2.58,-57.46000000000006
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_2_-0.5",43.0,4.0,-63.79000000000006,2.58,-66.37000000000006
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_2_-0.8",43.0,4.0,-76.96000000000005,1.63,-78.59000000000003
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_4_-0.25",43.0,4.0,-43.82000000000003,2.58,-46.40000000000001
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_4_-0.5",43.0,4.0,-52.73000000000004,2.58,-55.31000000000004
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_4_-0.8",43.0,4.0,-65.90000000000005,1.63,-67.53000000000003
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_999_-0.25",43.0,4.0,-43.82000000000003,2.58,-46.40000000000001
