,n,win,totalret,maxret,mdd
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.25_-0.25",68.0,32.0,1.470000000000002,2.8900000000000006,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.25_-0.5",68.0,33.0,1.9900000000000024,3.4100000000000015,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.25_-1",68.0,35.0,4.910000000000002,6.330000000000003,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.25_-2",68.0,35.0,3.9000000000000012,6.330000000000003,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.25_-3",68.0,35.0,2.7300000000000013,5.160000000000001,-3.740000000000002
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.5_-0.25",68.0,30.0,0.6100000000000008,2.4800000000000013,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.5_-0.5",68.0,31.0,1.5000000000000009,2.920000000000001,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.5_-1",68.0,33.0,4.42,5.839999999999999,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.5_-2",68.0,33.0,3.4099999999999993,5.839999999999999,-2.5700000000000003
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_0.5_-3",68.0,33.0,2.2399999999999993,4.670000000000001,-3.740000000000002
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_1_-0.25",68.0,29.0,2.3300000000000014,4.200000000000002,-2.9699999999999998
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_1_-0.5",68.0,30.0,3.2200000000000006,4.6400000000000015,-2.9699999999999998
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_1_-1",68.0,32.0,6.5600000000000005,7.980000000000001,-2.9699999999999998
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_1_-2",68.0,32.0,5.55,7.980000000000001,-2.9699999999999998
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_1_-3",68.0,32.0,4.379999999999998,6.809999999999998,-4.1400000000000015
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_2_-0.25",68.0,28.0,0.42000000000000215,2.290000000000002,-4.380000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_2_-0.5",68.0,29.0,1.3100000000000023,2.7300000000000013,-4.380000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_2_-1",68.0,31.0,4.130000000000003,5.550000000000002,-4.9
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_2_-2",68.0,31.0,3.120000000000002,5.550000000000002,-4.9
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_2_-3",68.0,31.0,1.9499999999999993,4.379999999999998,-6.070000000000002
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_4_-0.25",68.0,28.0,0.42000000000000215,2.290000000000002,-4.380000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_4_-0.5",68.0,29.0,1.3100000000000023,2.7300000000000013,-4.380000000000001
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_4_-1",68.0,31.0,4.130000000000003,5.550000000000002,-4.9
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_4_-2",68.0,31.0,3.120000000000002,5.550000000000002,-4.9
"entry2_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_stop1dte_4_-3",68.0,31.0,1.9499999999999993,4.379999999999998,-6.070000000000002
