,,"weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2"
,,cp,exp,strike,code,name,close,open,high,low,iv,trd_volume,trd_value,open_interest,exp_date,dte,open_k200,high_k200,low_k200,close_k200,close_iv,rate,atm,moneyness,adj_price,delta,gamma,theta,vega,term,value,cp,exp,strike,code,name,close,open,high,low,iv,trd_volume,trd_value,open_interest,exp_date,dte,open_k200,high_k200,low_k200,close_k200,close_iv,rate,atm,moneyness,adj_price,delta,gamma,theta,vega,term,value
date,entry_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.2,0.48,0.61,0.17,11.4,1665,121415000,554,2019-10-02,6,275.61,276.38,273.5,274.89,15.06,1.5,275.0,5.0,0.27,0.127,0.048,-0.065,0.079,1,0.27,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.2,0.48,0.61,0.17,11.4,1665,121415000,554,2019-10-02,6,275.61,276.38,273.5,274.89,15.06,1.5,275.0,5.0,0.27,-0.254,-0.096,0.13,-0.158,1,-0.54
2019-09-27,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.13,0.13,0.01,10.3,5702,70790000,2529,2019-10-02,5,273.32,273.4,270.52,271.33,14.85,1.5,272.5,7.5,0.01,0.009,0.007,-0.007,0.009,1,0.01,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.13,0.13,0.01,10.3,5702,70790000,2529,2019-10-02,5,273.32,273.4,270.52,271.33,14.85,1.5,272.5,7.5,0.01,-0.018,-0.014,0.014,-0.018,1,-0.02
2019-09-30,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.02,0.01,0.03,0.01,12.3,6003,19590000,5187,2019-10-02,2,270.61,273.85,270.06,273.55,15.15,1.5,272.5,7.5,0.02,0.019,0.015,-0.024,0.012,1,0.02,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.02,0.01,0.03,0.01,12.3,6003,19590000,5187,2019-10-02,2,270.61,273.85,270.06,273.55,15.15,1.5,272.5,7.5,0.02,-0.038,-0.03,0.048,-0.024,1,-0.04
2019-10-01,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.04,0.01,12.1,5561,23885000,5717,2019-10-02,1,273.43,275.38,272.81,274.42,14.89,1.5,275.0,5.0,0.01,0.013,0.013,-0.02,0.007,1,0.01,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.04,0.01,12.1,5561,23885000,5717,2019-10-02,1,273.43,275.38,272.81,274.42,14.89,1.5,275.0,5.0,0.01,-0.026,-0.026,0.04,-0.014,1,-0.02
2019-10-02,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.01,0.01,31.2,163,407500,0,2019-10-02,0,272.39,272.42,268.55,268.55,15.86,1.5,267.5,12.5,0.0,0.0,0.0,0.0,0.0,1,0.0,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.01,0.01,31.2,163,407500,0,2019-10-02,0,272.39,272.42,268.55,268.55,15.86,1.5,267.5,12.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2019-10-10,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,0.61,0.36,0.74,0.32,16.2,1151,165067500,557,2019-10-17,7,268.79,270.78,266.23,268.8,15.63,1.5,270.0,5.0,0.61,0.177,0.04,-0.105,0.103,1,0.61,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.25,0.14,0.33,0.14,15.6,1254,76625000,567,2019-10-17,7,268.79,270.78,266.23,268.8,15.63,1.5,270.0,7.5,0.25,-0.176,-0.052,0.124,-0.128,1,-0.5
2019-10-11,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,0.92,1.01,1.21,0.73,15.1,4057,988370000,673,2019-10-17,6,271.68,272.68,270.58,271.3,14.84,1.5,272.5,2.5,0.91,0.266,0.058,-0.133,0.123,1,0.91,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.4,0.46,0.53,0.31,14.8,9591,993892500,1689,2019-10-17,6,271.68,272.68,270.58,271.3,14.84,1.5,272.5,5.0,0.39,-0.28,-0.08,0.178,-0.168,1,-0.78
2019-10-14,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,1.29,1.88,2.05,1.19,14.1,2569,1001582500,822,2019-10-17,3,274.71,275.75,273.97,274.23,14.3,1.5,275.0,0.0,1.28,0.432,0.097,-0.199,0.113,1,1.28,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.48,0.88,0.92,0.46,13.9,9418,1561722500,2365,2019-10-17,3,274.71,275.75,273.97,274.23,14.3,1.5,275.0,2.5,0.48,-0.426,-0.146,0.29,-0.166,1,-0.96
