,date,0
2010-01-14,2010-01-04,0.0
2010-02-11,2010-01-04,0.0
2010-01-14,2010-01-05,0.0
2010-02-11,2010-01-05,0.0
2010-01-14,2010-01-06,0.0
2010-02-11,2010-01-06,0.0
2010-01-14,2010-01-07,0.0
2010-02-11,2010-01-07,0.0
2010-01-14,2010-01-08,0.0
2010-02-11,2010-01-08,0.0
2010-03-11,2010-01-08,0.0
2010-01-14,2010-01-11,0.0
2010-02-11,2010-01-11,0.0
2010-03-11,2010-01-11,0.20000000000000018
2010-01-14,2010-01-12,0.0
2010-02-11,2010-01-12,0.0
2010-03-11,2010-01-12,0.34999999999999964
2010-01-14,2010-01-13,0.0
2010-02-11,2010-01-13,0.0
2010-03-11,2010-01-13,1.3000000000000003
2010-01-14,2010-01-14,0.0
2010-02-11,2010-01-14,0.0
2010-03-11,2010-01-14,-0.8999999999999999
2010-02-11,2010-01-15,0.0
2010-03-11,2010-01-15,-0.04999999999999982
2010-02-11,2010-01-18,0.0
2010-03-11,2010-01-18,-0.10000000000000053
2010-02-11,2010-01-19,0.0
2010-02-11,2010-01-20,0.0
2010-02-11,2010-01-21,0.0
2010-02-11,2010-01-22,0.0
2010-03-11,2010-01-22,0.0
2010-02-11,2010-01-25,0.0
2010-03-11,2010-01-25,0.25
2010-02-11,2010-01-26,0.0
2010-03-11,2010-01-26,1.35
2010-02-11,2010-01-27,0.0
2010-03-11,2010-01-27,0.3500000000000001
2010-02-11,2010-01-28,0.0
2010-03-11,2010-01-28,-0.2200000000000002
2010-02-11,2010-01-29,0.0
2010-03-11,2010-01-29,1.1400000000000001
2010-02-11,2010-02-01,0.0
2010-02-11,2010-02-02,0.0
2010-02-11,2010-02-03,0.0
2010-02-11,2010-02-04,0.0
2010-02-11,2010-02-05,0.0
2010-02-11,2010-02-08,0.0
2010-02-11,2010-02-09,0.0
2010-02-11,2010-02-10,0.0
2010-02-11,2010-02-11,0.0
2010-04-08,2010-02-25,0.0
2010-04-08,2010-02-26,-0.04999999999999982
2010-05-13,2010-02-26,0.0
2010-04-08,2010-03-02,-1.1999999999999997
2010-05-13,2010-03-02,0.0
2010-04-08,2010-03-03,-0.15000000000000036
2010-05-13,2010-03-03,0.0
2010-04-08,2010-03-04,0.4500000000000002
2010-05-13,2010-03-04,0.0
2010-05-13,2010-03-05,0.0
2010-05-13,2010-03-08,0.0
2010-05-13,2010-03-09,0.0
2010-05-13,2010-03-10,0.0
2010-05-13,2010-03-11,0.0
2010-05-13,2010-03-12,0.0
2010-05-13,2010-03-15,0.0
2010-05-13,2010-03-16,0.0
2010-05-13,2010-03-17,0.0
2010-05-13,2010-03-18,0.0
2010-05-13,2010-03-19,0.0
2010-05-13,2010-03-22,0.0
2010-05-13,2010-03-23,0.0
2010-05-13,2010-03-24,0.0
2010-05-13,2010-03-25,0.0
2010-05-13,2010-03-26,0.0
2010-05-13,2010-03-29,0.0
2010-05-13,2010-03-30,0.0
2010-05-13,2010-03-31,0.0
2010-05-13,2010-04-01,0.0
2010-05-13,2010-04-02,0.0
2010-05-13,2010-04-05,0.0
2010-05-13,2010-04-06,0.0
2010-05-13,2010-04-07,0.0
2010-05-13,2010-04-08,0.0
2010-05-13,2010-04-09,0.0
2010-06-10,2010-04-09,0.0
2010-05-13,2010-04-12,0.0
2010-06-10,2010-04-12,0.5
2010-05-13,2010-04-13,0.0
2010-06-10,2010-04-13,0.3299999999999996
