date,exp
2023-08-07 00:00:00,2308W1
2023-08-14 00:00:00,2308W2
2023-08-21 00:00:00,2308W3
2023-08-28 00:00:00,2308W4
2023-09-04 00:00:00,2309W1
2023-09-11 00:00:00,2309W2
2023-09-18 00:00:00,2309W3
2023-09-25 00:00:00,2309W4
2023-10-04 00:00:00,2310W1
2023-10-10 00:00:00,2310W2
2023-10-16 00:00:00,2310W3
2023-10-23 00:00:00,2310W4
2023-10-30 00:00:00,2310W5
2023-11-06 00:00:00,2311W1
2023-11-13 00:00:00,2311W2
2023-11-20 00:00:00,2311W3
2023-11-27 00:00:00,2311W4
2023-12-04 00:00:00,2312W1
2023-12-11 00:00:00,2312W2
2023-12-18 00:00:00,2312W3
2023-12-26 00:00:00,2312W4
2024-01-02 00:00:00,2401W1
2024-01-08 00:00:00,2401W2
2024-01-15 00:00:00,2401W3
2024-01-22 00:00:00,2401W4
2024-01-29 00:00:00,2401W5
2024-02-05 00:00:00,2402W1
2024-02-13 00:00:00,2402W2
2024-02-19 00:00:00,2402W3
2024-02-26 00:00:00,2402W4
2024-03-04 00:00:00,2403W1
2024-03-11 00:00:00,2403W2
2024-03-18 00:00:00,2403W3
2024-03-25 00:00:00,2403W4
2024-04-01 00:00:00,2404W1
2024-04-08 00:00:00,2404W2
2024-04-15 00:00:00,2404W3
2024-04-22 00:00:00,2404W4
2024-04-29 00:00:00,2404W5
2024-05-07 00:00:00,2405W1
2024-05-13 00:00:00,2405W2
2024-05-20 00:00:00,2405W3
2024-05-27 00:00:00,2405W4
2024-06-03 00:00:00,2406W1
2024-06-10 00:00:00,2406W2
2024-06-17 00:00:00,2406W3
2024-06-24 00:00:00,2406W4
2024-07-01 00:00:00,2407W1
2024-07-08 00:00:00,2407W2
2024-07-15 00:00:00,2407W3
2024-07-22 00:00:00,2407W4
2024-07-29 00:00:00,2407W5
2024-08-05 00:00:00,2408W1
2024-08-12 00:00:00,2408W2
2024-08-19 00:00:00,2408W3
2024-08-26 00:00:00,2408W4
2024-09-02 00:00:00,2409W1
2024-09-09 00:00:00,2409W2
2024-09-19 00:00:00,2409W3
2024-09-23 00:00:00,2409W4
2024-09-24 00:00:00,2409W5
