,weight
"put_entry4_{'P': [('delta', -0.2, -1)]}_[7, 35]_put_exit4_0.8_-0.25",0.0
"put_entry4_{'P': [('delta', -0.2, -1)]}_[42, 70]_put_exit2_0.25_-1",0.0
"put_entry1_{'P': [('delta', -0.4, -1)]}_[42, 70]_put_exit4_0.8_-0.25",0.0
"put_entry1_{'P': [('delta', -0.2, -1)]}_[42, 70]_put_exit4_0.5_-0.25",37.0
"put_entry2_{'P': [('delta', -0.4, -1)]}_[42, 70]_put_exit1_0.25_-2",2.0
"put_entry7_{'P': [('delta', -0.4, -1)]}_[42, 70]_put_exit1_0.25_-2",4.0
"call_entry3_{'C': [('delta', 0.4, -1)]}_[42, 70]_call_exit1_0.5_-0.25",0.0
"call_entry7_{'C': [('delta', 0.4, -1)]}_[7, 35]_call_exit1_0.25_-1",6.0
"call_entry7_{'C': [('delta', 0.2, -1)]}_[42, 70]_call_exit1_0.25_-0.25",0.0
"call_entry1_{'C': [('delta', 0.2, -1)]}_[42, 70]_call_exit1_0.8_-0.5",3.0
"call_entry4_{'C': [('delta', 0.4, 1)]}_[7, 35]_call_exit4_4_-0.25",0.0
"call_entry4_{'C': [('delta', 0.2, 1)]}_[42, 70]_call_exit4_4_-0.5",0.0
"call_entry1_{'C': [('delta', 0.2, -1)]}_[42, 70]_put_exit1_0.8_-0.5",0.0
"call_entry6_{'C': [('delta', 0.2, 1)]}_[7, 35]_call_exit1_0.5_-0.25",0.0
"strangle_entry4_{'C': [('delta', 0.06, -1)], 'P': [('delta', -0.07, -1)]}_[42, 70]_put_exit1_0.8_-0.25",0.0
"strangle_entry1_{'C': [('delta', 0.06, -1)], 'P': [('delta', -0.07, -1)]}_[42, 70]_put_exit1_0.8_-0.25",0.0
"strangle_entry2_{'C': [('delta', 0.06, -1)], 'P': [('delta', -0.07, -1)]}_[42, 70]_put_exit1_0.8_-0.25",0.0
-> 월+금요일+no_lowvol / 0.8 / -0.25,22.0
"strangle_entry3_{'C': [('delta', 0.06, -1)], 'P': [('delta', -0.07, -1)]}_[42, 70]_put_exit1_0.1_-0.25",0.0
-> 월요일 + no_vixinvert + no_lowvol + 0.1 / -0.25,0.0
-> 월요일 + no_vixinvert + no_lowvol + 0.1 / -0.25 + volsizing,0.0
"strangle_entry4_{'C': [('delta', 0.3, -1)], 'P': [('delta', -0.3, -1)]}_[42, 70]_put_exit1_0.1_-0.5",0.0
"strangle_entry4_{'C': [('delta', 0.06, -1)], 'P': [('delta', -0.07, -1)]}_[42, 70]_put_exit1_0.5_-1",0.0
"call_entry2_{'C': [('delta', 0.3, -1), ('delta', 0.15, 2)]}_[7, 36]_call_exit1_999_-3",1.0
"call_entry1_{'C': [('delta', 0.3, -1), ('delta', 0.15, 2)]}_[7, 36]_call_exit1_999_-999",26.0
"call_entry4_{'C': [('delta', 0.4, -1), ('delta', 0.2, 3)]}_[42, 71]_call_exit4_999_-3",0.0
"put_entry4_{'P': [('delta', -0.2, -1), ('delta', -0.1, 2)]}_[7, 36]_put_exit4_999_-1",0.0
"strangle_entry2_{'C': [('delta', 0.06, 1)], 'P': [('delta', -0.07, 1)]}_[7, 35]_exit1_1_-0.25",0.0
