,n,win,totalret,maxret,mdd
"strangle_entry4_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.5_-0.5",185.0,47.0,-38.790362564407026,37.12999999999997,-77.66791425953332
"strangle_entry4_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.1",185.0,27.0,-45.829078449968584,6.730000000000001,-52.5590784499686
"strangle_entry4_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.25",185.0,33.0,-37.81907844996857,16.20999999999999,-54.02907844996855
"strangle_entry4_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.5",185.0,40.0,-43.04036256440705,39.94000000000001,-82.98036256440706
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.1",185.0,52.0,-24.593664408669863,8.310000000000002,-32.90366440866987
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.25",185.0,67.0,-3.841271928718946,36.45999999999998,-40.30127192871888
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.5",185.0,82.0,-35.598308673766255,38.18999999999997,-73.78830867376621
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.1",185.0,39.0,-45.203664408669866,4.290000000000001,-49.49366440866986
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.25",185.0,56.0,-12.421271928718973,43.14999999999994,-55.571271928718915
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.5",185.0,69.0,-51.708308673766275,43.79999999999996,-95.50830867376621
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.5_-0.1",185.0,32.0,-55.04366440866985,8.760000000000023,-63.803664408669874
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.5_-0.25",185.0,47.0,-27.721271928718952,42.379999999999946,-70.10127192871886
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.5_-0.5",185.0,60.0,-63.34830867376622,44.30000000000002,-107.64830867376622
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_1_-0.1",185.0,27.0,-50.22366440866984,19.510000000000012,-69.73366440866985
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_1_-0.25",185.0,41.0,-25.47127192871892,49.76999999999998,-75.24127192871887
"strangle_entry4_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_1_-0.5",185.0,50.0,-68.85830867376615,50.28000000000007,-119.13830867376622
"strangle_entry4_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.1_-0.1",185.0,54.0,-36.12187989588025,6.309999999999997,-42.43187989588023
"strangle_entry4_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.1_-0.25",185.0,71.0,-58.32187989588025,8.26999999999997,-66.59187989588021
"strangle_entry4_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.1_-0.5",185.0,95.0,-45.556600989602366,47.25999999999996,-92.81660098960236
"strangle_entry4_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.1",185.0,46.0,-50.841879895880254,6.069999999999974,-56.911879895880226
"strangle_entry4_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.25",185.0,62.0,-67.15187989588033,13.369999999999916,-80.52187989588019
"strangle_entry4_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.5",185.0,84.0,-61.17660098960244,54.29999999999994,-115.47660098960242
