,n,win,totalret,maxret,mdd
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.25",119.0,52.0,-14.913552216065971,3.959999999999998,-40.910000000000004
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.5",119.0,54.0,-15.538462144239615,3.959999999999998,-40.910000000000004
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-1",119.0,60.0,-12.798462144239618,6.150000000000003,-45.34000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-2",119.0,60.0,-23.686385446122056,5.400000000000003,-51.33000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.8_-0.25",119.0,49.0,-15.863552216065978,4.119999999999999,-43.089999999999996
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.8_-0.5",119.0,51.0,-16.06846214423962,4.119999999999999,-43.089999999999996
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.8_-1",119.0,55.0,-16.40846214423962,3.2300000000000035,-47.52000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.8_-2",119.0,55.0,-27.296385446122063,2.480000000000004,-53.51000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.25_-0.25",119.0,53.0,-21.74355221606596,2.129999999999999,-40.25
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.25_-0.5",119.0,55.0,-22.368462144239597,2.129999999999999,-40.25
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.25_-1",119.0,61.0,-19.478462144239607,4.320000000000004,-44.53
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.25_-2",119.0,61.0,-30.36638544612207,3.570000000000003,-50.52000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.5_-0.25",119.0,52.0,-14.913552216065971,3.959999999999998,-40.910000000000004
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.5_-0.5",119.0,54.0,-15.538462144239615,3.959999999999998,-40.910000000000004
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.5_-1",119.0,60.0,-12.798462144239618,6.150000000000003,-45.34000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.5_-2",119.0,60.0,-23.686385446122056,5.400000000000003,-51.33000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.8_-0.25",119.0,49.0,-15.863552216065978,4.119999999999999,-43.089999999999996
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.8_-0.5",119.0,51.0,-16.06846214423962,4.119999999999999,-43.089999999999996
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.8_-1",119.0,55.0,-16.40846214423962,3.2300000000000035,-47.52000000000001
"call_entry8_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit4_0.8_-2",119.0,55.0,-27.296385446122063,2.480000000000004,-53.51000000000001
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.25_-0.25",119.0,61.0,-10.242598322121186,2.05,-23.06
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.25_-0.5",119.0,62.0,-12.546923035612357,2.84,-22.669999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.25_-1",119.0,67.0,-7.876923035612355,3.1799999999999997,-22.86
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.25_-2",119.0,67.0,-18.086923035612358,2.76,-28.760000000000005
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.5_-0.25",119.0,59.0,-10.062598322121186,2.2299999999999995,-23.71
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.5_-0.5",119.0,60.0,-12.366923035612357,3.0199999999999996,-23.32
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.5_-1",119.0,65.0,-8.486923035612355,3.3599999999999994,-23.51
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.5_-2",119.0,65.0,-18.696923035612354,2.94,-29.410000000000004
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.8_-0.25",119.0,59.0,-4.5525983221211845,3.07,-22.419999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.8_-0.5",119.0,60.0,-6.856923035612354,3.8599999999999994,-22.029999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.8_-1",119.0,65.0,-2.806923035612353,4.529999999999999,-22.380000000000003
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit1_0.8_-2",119.0,65.0,-13.016923035612356,3.7800000000000002,-27.95
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.25_-0.25",119.0,61.0,-10.242598322121186,2.05,-23.06
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.25_-0.5",119.0,62.0,-12.546923035612357,2.84,-22.669999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.25_-1",119.0,67.0,-7.876923035612355,3.1799999999999997,-22.86
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.25_-2",119.0,67.0,-18.086923035612358,2.76,-28.760000000000005
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.5_-0.25",119.0,59.0,-10.062598322121186,2.2299999999999995,-23.71
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.5_-0.5",119.0,60.0,-12.366923035612357,3.0199999999999996,-23.32
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.5_-1",119.0,65.0,-8.486923035612355,3.3599999999999994,-23.51
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.5_-2",119.0,65.0,-18.696923035612354,2.94,-29.410000000000004
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.8_-0.25",119.0,59.0,-4.5525983221211845,3.07,-22.419999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.8_-0.5",119.0,60.0,-6.856923035612354,3.8599999999999994,-22.029999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.8_-1",119.0,65.0,-2.806923035612353,4.529999999999999,-22.380000000000003
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit2_0.8_-2",119.0,65.0,-13.016923035612356,3.7800000000000002,-27.95
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.25_-0.25",119.0,61.0,-10.242598322121186,2.05,-23.06
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.25_-0.5",119.0,62.0,-12.546923035612357,2.84,-22.669999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.25_-1",119.0,67.0,-7.876923035612355,3.1799999999999997,-22.86
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.25_-2",119.0,67.0,-18.086923035612358,2.76,-28.760000000000005
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.5_-0.25",119.0,59.0,-10.062598322121186,2.2299999999999995,-23.71
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.5_-0.5",119.0,60.0,-12.366923035612357,3.0199999999999996,-23.32
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.5_-1",119.0,65.0,-8.486923035612355,3.3599999999999994,-23.51
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.5_-2",119.0,65.0,-18.696923035612354,2.94,-29.410000000000004
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.8_-0.25",119.0,59.0,-4.5525983221211845,3.07,-22.419999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.8_-0.5",119.0,60.0,-6.856923035612354,3.8599999999999994,-22.029999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.8_-1",119.0,65.0,-2.806923035612353,4.529999999999999,-22.380000000000003
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit3_0.8_-2",119.0,65.0,-13.016923035612356,3.7800000000000002,-27.95
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.25_-0.25",119.0,61.0,-10.242598322121186,2.05,-23.06
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.25_-0.5",119.0,62.0,-12.546923035612357,2.84,-22.669999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.25_-1",119.0,67.0,-7.876923035612355,3.1799999999999997,-22.86
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.25_-2",119.0,67.0,-18.086923035612358,2.76,-28.760000000000005
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.5_-0.25",119.0,59.0,-10.062598322121186,2.2299999999999995,-23.71
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.5_-0.5",119.0,60.0,-12.366923035612357,3.0199999999999996,-23.32
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.5_-1",119.0,65.0,-8.486923035612355,3.3599999999999994,-23.51
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.5_-2",119.0,65.0,-18.696923035612354,2.94,-29.410000000000004
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.8_-0.25",119.0,59.0,-4.5525983221211845,3.07,-22.419999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.8_-0.5",119.0,60.0,-6.856923035612354,3.8599999999999994,-22.029999999999998
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.8_-1",119.0,65.0,-2.806923035612353,4.529999999999999,-22.380000000000003
"call_entry8_{'C': [('delta', 0.2, -1)]}_[2, 9]_put_exit4_0.8_-2",119.0,65.0,-13.016923035612356,3.7800000000000002,-27.95
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.25_-0.25",38.0,19.0,-2.0699999999999976,0.0,-14.5
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.25_-0.5",38.0,20.0,-0.8099999999999983,0.0,-13.24
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.25_-1",38.0,20.0,-6.179999999999995,0.0,-15.07
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.25_-2",38.0,21.0,-8.239999999999998,0.7800000000000007,-17.21
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.5_-0.25",38.0,18.0,-2.1999999999999944,0.0,-18.63
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.5_-0.5",38.0,19.0,0.07000000000000295,0.06999999999999851,-16.36
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.5_-1",38.0,19.0,-5.299999999999995,0.0,-18.189999999999998
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.5_-2",38.0,20.0,-7.359999999999994,0.7800000000000007,-20.33
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.8_-0.25",38.0,16.0,-7.200000000000005,0.26000000000000034,-19.919999999999995
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.8_-0.5",38.0,17.0,-4.929999999999998,0.26000000000000034,-17.65
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.8_-1",38.0,17.0,-10.299999999999999,0.0,-21.339999999999996
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit1_0.8_-2",38.0,18.0,-12.359999999999996,1.0600000000000005,-21.439999999999998
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-0.25",38.0,19.0,-2.0699999999999976,0.0,-14.5
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-0.5",38.0,20.0,-0.8099999999999983,0.0,-13.24
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-1",38.0,20.0,-6.179999999999995,0.0,-15.07
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-2",38.0,21.0,-8.239999999999998,0.7800000000000007,-17.21
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.25",38.0,18.0,-2.1999999999999944,0.0,-18.63
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.5",38.0,19.0,0.07000000000000295,0.06999999999999851,-16.36
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-1",38.0,19.0,-5.299999999999995,0.0,-18.189999999999998
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-2",38.0,20.0,-7.359999999999994,0.7800000000000007,-20.33
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-0.25",38.0,16.0,-7.200000000000005,0.26000000000000034,-19.919999999999995
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-0.5",38.0,17.0,-4.929999999999998,0.26000000000000034,-17.65
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-1",38.0,17.0,-10.299999999999999,0.0,-21.339999999999996
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-2",38.0,18.0,-12.359999999999996,1.0600000000000005,-21.439999999999998
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.25_-0.25",38.0,19.0,-2.0699999999999976,0.0,-14.5
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.25_-0.5",38.0,20.0,-0.8099999999999983,0.0,-13.24
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.25_-1",38.0,20.0,-6.179999999999995,0.0,-15.07
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.25_-2",38.0,21.0,-7.519999999999999,0.7800000000000007,-14.290000000000003
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.25",38.0,17.0,-4.059999999999999,0.0,-18.63
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.5",38.0,18.0,-1.7899999999999978,0.0,-16.36
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-1",38.0,18.0,-7.159999999999995,0.0,-18.189999999999998
"call_entry9_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.5_-2",38.0,19.0,-8.499999999999995,0.7800000000000007,-17.41
