,n,win,totalret,maxret,mdd
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.25",77.0,41.0,-22.33,0.5700000000000025,-27.37
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.5",77.0,44.0,-28.299999999999997,2.0100000000000042,-37.24999999999999
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-1",77.0,49.0,-74.60000000000002,1.02,-82.56
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-2",77.0,54.0,-84.22999999999999,10.589999999999977,-98.48999999999998
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-0.25",77.0,38.0,-28.900000000000006,4.160000000000009,-37.53
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-0.5",77.0,40.0,-36.38,4.33000000000001,-46.14000000000001
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-1",77.0,45.0,-85.13000000000001,1.4899999999999882,-92.05000000000003
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-2",77.0,50.0,-92.05999999999999,12.979999999999977,-108.47999999999999
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-0.25",77.0,42.0,-24.930000000000014,0.0,-28.410000000000014
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-0.5",77.0,45.0,-30.900000000000016,1.339999999999986,-37.54999999999999
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-1",77.0,50.0,-79.41000000000005,1.02,-85.74
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-2",77.0,56.0,-85.35000000000001,8.229999999999972,-96.27999999999996
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.5_-0.25",77.0,41.0,-22.33,0.5700000000000025,-27.37
"put_entry8_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.5_-0.5",77.0,44.0,-28.299999999999997,2.0100000000000042,-37.24999999999999
